Name,ID,URL,Country,Status,PIU Issuance,Developer,Validator,Start Year,End Year,Duration,Area,Emission Reductions,Claimable Emission Reductions,Latitude,Longitude,Subarea; Blanket Bog; Actively Eroding: Hagg/Gully,Subarea; Blanket Bog; Actively Eroding: Flat Bare,Subarea; Blanket Bog; Drained: Artificial,Subarea; Blanket Bog; Drained: Hagg/Gully,Subarea; Blanket Bog; Modified,Subarea; Blanket Bog; Near Natural,Subarea; Raised Bog; Actively Eroding: Hagg/Gully,Subarea; Raised Bog; Actively Eroding: Flat Bare,Subarea; Raised Bog; Drained: Artificial,Subarea; Raised Bog; Drained: Hagg/Gully,Subarea; Raised Bog; Modified,Subarea; Raised Bog; Near Natural,Subarea; Cropland; Drained,Subarea; Grassland; Intensive Drained,Subarea; Grassland; Extensive Drained,Subarea; Fen; Modified
Ben Wyvis-upper Peffery,104000000029024,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029024,Scotland,Under Development,Unissued,NatureScot,"SAC Consulting, SRUC",2025,2125,100,165.16,43054,36596,57.644677,-4.593531,6.58,0.14,43.58,114.86,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 1,104000000028385,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028385,Scotland,Validated,Issued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2022,2122,100,140.17,28609,24318,58.478412,-3.999472,2.17,0.0,101.9,36.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 10,104000000029046,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029046,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2125,100,111.572,30625,26032,58.447683,-3.831509,0.447,0.0,95.832,15.293,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 11,104000000029069,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029069,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2105,80,152.802,33335,28335,58.465217,-3.861566,0.368,0.0,143.567,8.867,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 12,104000000029070,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029070,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2110,85,160.169,37161,31587,58.478556,-3.870847,0.423,0.0,155.473,4.273,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 13,104000000029071,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029071,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2125,100,215.045,59171,50295,58.478805,-3.853709,0.99,0.0,197.005,17.05,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 14,104000000029072,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029072,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2125,100,113.052,31632,26888,58.47032,-3.81896,0.99,0.0,99.659,12.403,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 15,104000000029138,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029138,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2100,75,215.24,42547,36165,58.496758,-3.854656,0.73,0.0,198.21,16.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 16,104000000029139,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029139,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2080,55,118.024,17242,14656,58.514711,-3.855604,0.23,0.0,111.539,6.255,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 17,104000000029140,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029140,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2120,95,275.21,70103,59588,58.48851,-3.80275,0.28,0.01,268.76,6.16,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 18,104000000029141,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029141,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2110,85,184.721,42254,35916,58.514958,-3.838448,0.091,0.0,182.72,1.91,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 19,104000000029274,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029274,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2105,80,131.747,24413,20751,,,2.086,0.0,68.034,61.627,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 2,104000000028841,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028841,Scotland,Validated,Issued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2023,2123,100,94.088,18767,15952,58.47841,-3.99947,1.163,0.013,43.965,48.947,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 20,104000000029277,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029277,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2090,65,102.66,13841,11765,,,1.29,0.0,18.03,83.34,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 3,104000000028854,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028854,Scotland,Under Development,Unissued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,116.5,21437,18221,58.481556,-3.970491,0.3,0.0,108.6,7.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 4,104000000028973,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028973,Scotland,Under Development,Unissued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2120,95,201.68,34650,29452,58.479363,-3.996096,0.11,0.0,199.71,1.86,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 5,104000000028974,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028974,Scotland,Under Development,Unissued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,188.5,34241,29105,58.486514,-3.93989,0.2,0.0,183.4,4.9,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
